title,overview
Batman Begins,Bruce Wayne becomes Batman and fights crime in Gotham
The Dark Knight,Batman faces the Joker in Gotham City
The Dark Knight Rises,Batman returns to save Gotham from Bane
Man of Steel,Superman saves Earth from powerful enemies
Interstellar,A team travels through space to save humanity
Inception,A thief enters dreams to steal secrets
The Prestige,Two rival magicians compete with each other
Avatar,A marine explores an alien world called Pandora
Titanic,A love story aboard a doomed ship
The Avengers,Marvel superheroes unite to save the world
